t,x,y
0.0,-1792.184160965441,-2401.198675153713
0.0166444444444423,-1784.2323153480309,-2405.573453391442
0.0332999999999974,-1770.150343975036,-2415.6645275963847
0.0499555555555543,-1749.0561725070734,-2429.7154682198016
0.0666111111111113,-1707.6727026321075,-2442.860856456829
0.0832666666666664,-1677.3534773406395,-2467.3875251245245
0.0999222222222215,-1644.3990756599924,-2496.8412328057047
0.1165777777777766,-1597.3405406334907,-2525.4679366307582
0.1332333333333317,-1544.4991255761588,-2555.971771875468
0.1498888888888886,-1503.931849840162,-2593.2923259473637
0.1665444444444438,-1437.464997386828,-2627.1757444027535
0.1831999999999989,-1367.778731893637,-2663.018224025893
0.199855555555554,-1291.7990069038162,-2697.5824200096795
0.2165111111111091,-1208.1799356133283,-2732.498464183249
0.2331666666666642,-1125.7895022117318,-2767.1872335061153
0.2498222222222211,-1021.0564595901953,-2801.290175919409
0.2664777777777781,-932.7401954481995,-2832.150960345669
0.2831333333333332,-836.3728207592553,-2862.2833090072545
0.2997888888888883,-756.9083905084804,-2906.7515153122336
0.3164444444444434,-645.9577805973425,-2931.7601177182723
0.3330999999999985,-533.9821552347819,-2944.491062696965
0.3497555555555555,-416.3442269720415,-2962.2506553517323
0.3664111111111106,-302.1269884082683,-2974.155121146744
0.3830666666666657,-183.32973058569405,-2979.1004189498226
0.3997222222222208,-68.13600522773595,-2981.710606971895
0.4163777777777759,47.52646345208018,-2979.0962220512592
0.433033333333331,160.04035694089498,-2972.098052747074
0.4496888888888879,265.4811723678922,-2961.9349765235756
0.466344444444443,379.9274461774162,-2948.0623115173494
0.4829999999999982,495.45450135103533,-2932.4626432266887
0.4996555555555551,582.4070799104713,-2904.4812063480085
0.5163111111111103,704.7541650257479,-2879.7683380750614
0.5329666666666654,802.8384976448312,-2848.373487183788
0.5496222222222222,896.596884786193,-2817.55527171203
0.5662777777777773,987.6635211537643,-2783.8045145697715
0.5829333333333325,1081.7158390345592,-2743.8275571412905
0.5995888888888876,1162.02848271272,-2711.631738034037
0.6162444444444427,1228.6090429180542,-2673.1692230989183
0.6328999999999978,1302.6000495608753,-2637.681245959813
0.6495555555555548,1368.0280239085084,-2610.770759959367
0.6662111111111099,1421.0763935399152,-2581.357322747991
0.682866666666665,1424.6478853666056,-2566.5945494169737
0.69952222222222,1457.9518814373857,-2540.209857262339
0.716177777777777,1499.0450057012256,-2520.8279434463957
0.7328333333333321,1525.8124143770249,-2502.561034704275
0.7494888888888891,1545.84037372153,-2488.768605223643
0.7661444444444442,1566.5011963849367,-2475.066916084582
0.7827999999999993,1576.8211021924537,-2470.529246056107
0.7994555555555544,1580.210575876664,-2466.3041173305837
0.8161111111111095,1572.307876949251,-2472.915549782352
0.8327666666666647,1564.809942808144,-2478.984389439427
0.8494222222222215,1546.153968530962,-2485.495568821574
0.8660777777777766,1531.3704367357084,-2501.9212665158393
0.8827333333333317,1503.8788825128202,-2517.337748001395
0.8993888888888869,1466.3194753981954,-2538.1598857248973
0.916044444444442,1428.5529327248075,-2562.4873729424107
0.9326999999999988,1380.4115486055164,-2586.053239909552
0.9493555555555558,1327.581464034559,-2614.4031120137806
0.9660111111111108,1258.9145651492088,-2645.447062250487
0.982666666666666,1195.0617782265629,-2681.784460483178
0.9993222222222212,1128.82712935714,-2712.184625566936
1.0159777777777763,1099.3768951401696,-2744.817356472394
1.0326333333333333,1030.302705591104,-2773.352218460799
1.0492888888888885,926.7706583116676,-2809.7667866088213
1.0659444444444437,829.1990507133912,-2841.399824579
1.0825999999999985,736.6289089433737,-2867.933117990182
1.0992555555555537,633.0277955562981,-2897.0064982829645
1.1159111111111089,529.8946171696073,-2921.1922484184943
1.1325666666666656,418.644871292624,-2943.784928522985
1.14921111111111,299.00814672686715,-2960.4764529314907
1.1658777777777778,195.11749192712068,-2972.1352533248046
1.18252222222222,81.73380778455908,-2981.898294925576
1.199177777777777,-34.43865198340495,-2984.80430895653
1.2158333333333322,-144.3992447643236,-2979.7440212157653
1.2324888888888872,-269.4906125783441,-2980.5226975000814
1.2491444444444424,-379.85583478518333,-2966.480726435764
1.2657999999999994,-492.9104383377037,-2949.9092014695025
1.2824555555555543,-605.2454257875753,-2934.0807506254105
1.299111111111111,-719.8191302905943,-2918.1365081910126
1.3157666666666663,-806.8370535274244,-2899.554630832383
1.3324222222222215,-903.0956653902197,-2871.9112212791742
1.3490777777777767,-977.1284272044145,-2819.8307044935664
1.3657333333333317,-1073.3671262651255,-2783.7985376021306
1.382388888888887,-1153.0653127979017,-2753.329979501539
1.399044444444444,-1235.7496726059392,-2718.8423487839846
1.4156999999999988,-1334.4259356414132,-2683.4408634002484
1.432355555555554,-1405.2031290989764,-2648.7820715514727
1.449011111111109,-1436.620027948814,-2619.3988445495343
1.4656666666666642,-1468.7926108958918,-2590.973220608258
1.4823222222222212,-1540.690440659524,-2560.1475387900764
1.4989777777777782,-1590.7017337276595,-2533.121528607554
1.5156333333333332,-1627.070346208769,-2512.0517824983453
1.5322888888888884,-1656.9454942987743,-2491.518229431211
1.5489444444444431,-1681.6578728476702,-2474.3441727840445
1.5655999999999983,-1699.1587372366273,-2461.1464040650326
1.5822555555555555,-1711.276772561131,-2452.24300505062
1.5989111111111105,-1719.86902152321,-2447.921100504109
1.6155666666666657,-1719.8959220867084,-2448.092796730199
1.632222222222221,-1714.5626787890806,-2451.6075466081484
1.648877777777776,-1701.3858761033975,-2459.372687627725
1.665533333333331,-1683.9540022352821,-2469.8491444240726
1.682188888888888,-1660.4408034775183,-2485.377770118658
1.698844444444443,-1629.8590042764415,-2504.077187907712
1.7155,-1593.3927171151736,-2526.1459054744128
1.732155555555555,-1551.951017565631,-2550.3112085889443
1.7488111111111102,-1504.2039579197556,-2576.9303524778643
1.7654666666666654,-1451.2618007169938,-2606.5385189037124
1.7821222222222222,-1393.0979919204356,-2636.526812971596
1.7987777777777774,-1319.8646120932603,-2670.9711858731025
1.8154333333333328,-1252.4323962595586,-2701.5238873511353
1.8320888888888875,-1174.6915805862159,-2734.1216718769774
1.8487444444444427,-1093.8529974178414,-2767.153453858011
1.8653999999999975,-1017.942034981189,-2799.2830580252494
1.8820555555555547,-927.2430283275869,-2829.819499895981
1.89871111111111,-832.9406893832597,-2856.8976358070167
1.9153666666666649,-760.5668015522381,-2902.5190673105753
1.9320222222222216,-660.9709365969416,-2922.4357572205818
1.948677777777777,-549.535109474926,-2940.2500585529224
1.965333333333332,-441.6317019490475,-2959.266004072035
1.981988888888889,-330.503108333862,-2972.1234772645303
1.998644444444444,-218.18416096544092,-2978.479435780111
2.0152999999999994,-110.16444770379212,-2981.060269763482
2.0319555555555544,3.1380612567811568,-2979.9942566671716
2.0486111111111094,111.08456867625318,-2975.933991852369
2.065266666666665,217.78090453674258,-2967.867228612832
2.0819222222222216,331.1947452845591,-2956.8527881368645
2.0985777777777765,434.7755340236656,-2942.270103725142
2.115233333333332,539.8551648772557,-2923.909476547441
2.131888888888887,639.7897196315741,-2901.439976212714
2.148544444444444,726.9005384881109,-2869.4508566545856
2.165199999999999,809.7895232450853,-2840.9927003109456
2.181855555555556,900.6742205374492,-2812.8463044640575
2.198511111111111,987.0870567467362,-2779.457295843368
2.215166666666666,1068.9226501800697,-2750.733736129322
2.2318222222222213,1167.486512111482,-2708.4408973759346
2.248477777777776,1234.625780555027,-2678.7588845777964
2.2651333333333312,1268.7242897387844,-2672.040780416871
2.2817888888888884,1315.27225549945,-2648.1986751537124
2.2984444444444434,1364.9355830930601,-2617.009274989374
2.3150999999999984,1406.8131363318564,-2591.4891889877044
2.331755555555554,1441.430200736687,-2568.8291986071454
2.348411111111109,1472.8297022508252,-2549.53138890836
2.365055555555555,1490.794512020341,-2531.0583766462505
2.38171111111111,1504.6207717699851,-2522.4453670251687
2.3983666666666648,1516.4387346574551,-2516.5682938498994
2.41502222222222,1522.3107166668872,-2514.0525582601977
2.431677777777777,1522.7713945901153,-2515.14218014987
2.448333333333332,1516.200702158552,-2520.1676615379793
2.464988888888888,1504.4549694693417,-2528.391730709268
2.481644444444444,1486.0419372257736,-2538.2097862648243
2.498299999999999,1462.3357593532844,-2552.8962799441315
